mint	transitions_per_hour	transition_count	grid_points
24rG6BvpNmRrgrT9BK362FjZb6fj7CrEqgoWj34fBAGS	60.00000000	1	2
2tDJsuJic1coraW27d9WWzrRBoV1GnrXaXVbJoCtpump	60.00000000	1	2
5EBotFY64oSMtPxHgDcHoVdMWfR5dssKjLUvLNXEpump	60.00000000	2	3
5JKu1mw8brd7KxzzsreVJtGCr91SMXxiA7qw2EaUFimo	60.00000000	1	2
6sveHrUgAkSkhCYdkCShAkSe9bwScp16CmSRC3Nspump	60.00000000	1	2
7AXkGaDm7yuNLQsyHcHZuECA34L4m5jrENhdG8YFpump	60.00000000	1	2
7Yzxw5PA8KaYVRHtCMEmH5auGg6u2j7zxKpAm2uFpump	60.00000000	1	2
7pHjYE7UWQkJV33csyZnjyVWkes8DYW6cDUr2B22pump	60.00000000	1	2
84nGjHwSScH1wVHzQWgK6EzNmTX9FwPNdY3BQBZjpump	60.00000000	1	2
9So52ugZh2BLBT3f7p61947q91uQh2DyvbfyMDeRpump	60.00000000	1	2
9jUPKdidSWPAtEP3bMG55HAUoq8DMJ9oBWfBWKxvpump	60.00000000	1	2
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump	60.00000000	2	3
AJ9UvocGKeuMNj7QtQfUTXgdnVKWMUzchwD7iZDGpump	60.00000000	1	2
BML6HURpKzop4HHPRaK3Bn1HyuAerqMqjwSZMkUTpump	60.00000000	1	2
BbLKdu9usB7agcgkZx2vzGZvSh7bwL3Pto72Ma3Npump	60.00000000	1	2
CTCeQiysWLhk25y3kXjs2nSqJx9Z2A4K3ffa2w6epump	60.00000000	1	2
CfJxopGjVVPWsbaDM8izGbi3gL5U2C4tDYxeX32dpump	60.00000000	1	2
CyUgNnKPQLqFcheyGV8wmypnJqojA7NzsdJjTS4nUT2j	60.00000000	1	2
DSZmU2zfeiCMCmsTijJwkcXRYmMtrEG8MfxeHLJKsurg	60.00000000	1	2
DcDzqVbb1Ud8PLb4RbSMFZucmniUEYBQZWStfy23jurG	60.00000000	1	2
DmGvYx7R4ZJnSocMauain4LXh3oA8kuDYavLoDLYpump	60.00000000	1	2
DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV	60.00000000	1	2
E3SDKLR8vmF8J5My2e1pnnX99f7qtwVZ1EBmfaW6pump	60.00000000	1	2
E5TwxuZtFrEV9GpY7VFhcV4Gpmtkgo613UaWpShrBAGS	60.00000000	1	2
EfgVuXVEfdPWfqHJQ3j52LQTADmsnTs2p6GP9CzVpump	60.00000000	1	2
EsQkAf65SBPqhXS9nPuq4QDvXXwRPcAxn5gBqHAupump	60.00000000	2	3
F6K9f9R7YsEL4Xf9ETtq9aApM522YHtbzxnigJUkpump	60.00000000	2	3
FAhzFaQnZX2NpUBssPi8tcKVDd1ZWnFUcqG5rzgrpump	60.00000000	1	2
FMEU2tbYoLLGT312PdmrEpPiobXnU5ypTTfn5dgdbonk	60.00000000	1	2
FrScmHdTfXDBvyfJSMqTtXdWYf1JA6aiCES2QbqXpump	60.00000000	1	2
GGiM8BaN45RxZ7jKiMfg2RC5zVn41HL21crv6cfSpump	60.00000000	1	2
GTbWsjDBiAs7NtmqsaQZ4Qfwdnwhsf2HdMKTaha4pump	60.00000000	1	2
H1cuPfBL45mWDmzNPDetL6dboMa8PigRqEeFxS1Jbonk	60.00000000	2	3
H6Vs55vFjG3ZN5DB2aRJVscArQTfG6AuNrnUdyZPbonk	60.00000000	1	2
HHmiBMqFQPsFPyEcfmrSsyxkZa7EJj15hZk4fU4Apump	60.00000000	1	2
HfzQGifGciGrrPQyJ79eVhTWjsKU14TGMUBN7NbiBAGS	60.00000000	1	2
MBpP762mHtnMNJqoeGA5TdHdL3SasQ7skhquHXxpump	60.00000000	2	3
yf1xw3TZ8ZLbmdYHDW6QEg5bcbKRpP3QNNhqPv5pump	60.00000000	1	2
GDYKiEguadwhmcexFzK9ADHjegJgHeFPZDo831p2p637	40.00000000	2	4
aTPu8cDEM7P7ifhoTd6NxaLf42tCiVcMCT3ZEGEpump	40.00000000	2	4
3d17dR2LMFuYyHpVi2Zu26v4WpEVQx2WBohTArYGpump	30.00000000	3	7
AKVs5WEkSXL4Xegn8DBwvNb8fQQje57LyifAaQVHpump	30.00000000	1	3
Fk4tkb3G7FCVUb5xWGV2Kzyb9WtPJvdb3TNpePuTsoar	30.00000000	2	5
GNkt1TP53cu61sKTghsnXZ6S8iYZNvFq1xT5LqGQpump	30.00000000	1	3
FvyAGAq3bx2mxMeVQfUkBfwYp6PKYHhbXCq1D6ydpump	24.00000000	4	11
3vZY2MKBzRMoT4nGUCWYzXPTES2jLaLNMV8Fn5cKpump	20.00000000	2	7
EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L	20.00000000	2	7
DpBzjtgGLF7QA9Ug3eUVGbnqa6j3jvYBn1XuQuktvfhm	13.33333333	2	10
9F6VbPeM8xR9Nkntyjp5nPY52w9YG9331bLuyhe3pump	12.00000000	2	11
3McoEPxgAeWvGMQwo4shxycCMyxMq5f8BFKuH1efpump	10.00000000	1	7
G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG	9.00000000	3	21
9yLV1s9FU4ERWzeRHyTCBkuU61tfCscHyM69i8H3pump	7.50000000	3	25
2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump	7.40425532	29	236
EtJruYAPMKb4d6HPhitet1Xj89SHsSzody87KrrJpump	5.00000000	1	13
EYfszZsaAzxq7NJz7BmfQRAnPgrcyUiSB51F54vnpump	4.28571429	1	15
7qz9dRpacs9MV34aPQTCbnGZr8zKdA96u86BN1VPbonk	4.13793103	2	30
r6tzQNz4dhAQJcZvVV6Fc13qw7Sqxbu2d9yhxZUHETF	4.13793103	2	30
FXmaE42AzEtE9thMHxDs3jDfHPP8nnUywzxvXrojbonk	3.93442623	4	62
26PnmUVmAMXievedffcM4u43vqgb1jGevgeMKikoBAGS	3.42857143	2	36
6JUCiMKFPaYAbGgZyyYEMDDut7usLbsuNwhPuNDApump	3.40909091	5	89
4EGQGEgZafPR7LQpseGAPLuUCGyQtum8gGYEZtf2bonk	3.33333333	2	37
CCj42knHtiG1sr8ZEDTeCrXwMNumrSh5xztpscDcpump	3.15789474	1	20
FNavBZpHvMwL6dxiB1AdPbD7F3kP8rMkNur51rG1pump	3.00000000	1	21
aXKEWTAJb58e58tybyXZF3dqTunWLPEaK4Ccn3Be1iN	2.85714286	1	22
4R1P1zqnfYR16t94gZfqPTFPiBRgskJfU9oEwLaApump	2.79069767	2	44
HzWssaL7K7tfaLckXHtorbHCHThGduSVdqSJJmUMbonk	2.50000000	4	97
J5bszawjR2erRbfizM45q1i1azAuEJ5etp3Ct3Ejpump	2.35294118	2	52
AYWAivjyYCGwwU7NEuasxK1mrFRpnn8KRX7zpiwYpump	2.30769231	3	79
FsDdCFtPxw8m2BY22f1mS5Ub5MWyJ7uSs5VWq5Hspump	2.14285714	4	113
4az7oyuUFco8GedLkWYzopurgadkSz8n64xCEXNYpump	1.79104478	2	68
BicY16jD9crfwc9k7zpkLCUEoXEmZYecM6Vo5v1ZDuzQ	1.66666667	1	37
8G5ayEsJF4Q7FEWEGeF4jtnUWZBEKCqhySTFQf9Ppump	1.62162162	4	149
689BynMq1USRwfX6HV1DYpxZBrVzVwJSFBpusu2Ppump	1.17647059	2	103
96NbRGpi19SkUrtvFWH17rqaV9LGsviHVmSdJ9qD8app	1.13207547	1	54
55b2AGW3RwbDDyxWVAVKWsa5DrBJU3t2H652SctQpump	1.12149533	2	108
DLJjXt2BmoeWMBuvuvBnuLZZGPiG5wFt8mVDWXnbVvnH	1.03448276	4	233
ExoZ7rM8YjkBdh45sVc3JtaD87K5fngEoK4Qe2SKbonk	0.93750000	8	513
HCBmKuf4CVDjpQFAM7CZHfp59XVYVtknTUUnbCVMpump	0.83916084	2	144
H941TkMpvHZJs4BoyFY8j8My3C1WZJBFdoS5fxe9pump	0.80000000	3	226
7N8BUGkKPyL93Sk4orXANQTcg4azUW9bMb5aSJ3Hpump	0.76433121	4	315
61Wj56QgGyyB966T7YsMzEAKRLcMvJpDbPzjkrCZc4Bi	0.71151094	58	4892
DRtvTCzfiKGhCVREmBbZdN9sB8PHeq9KdRZ3VmFhpump	0.64516129	2	187
8AdsF2QXFA8QkFuQ9TrQW6nEyM4E6yT4AwqgZ5cTpump	0.61643836	3	293
5ME6tBrsv8zNnUngiTe1EBULf1xY8vdC8KjhmoUhpump	0.59405941	2	203
EMJ6o1s8jZYPJpg2cowPK4xK6TsZS1TVd2J7zR3kpump	0.59405941	3	304
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v	0.58064516	96	9921
rrNNJPsVnmhgHR33oXSEstjsKx9mfb4Vim4MuDtpump	0.57692308	11	1145
8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump	0.51706543	76	8820
9YwoekrqzGdJUpr5QnhEJwWWRg4Qf4MUyqQFQ9UCpump	0.50632911	2	238
5a7Hks6Rp7PavnpXFyWRuGWSK2nsQcD4aGs7rWPJpump	0.45918367	3	393
7MDApufGNAKDDTcM3hrUpUfZ8jcaXdaoSZy1sQdRpump	0.35991531	17	2835
4T7XUugzhMtqxY8F7fmYaBGQyd6D7KdNJR7MvzVVpump	0.33149171	4	725
BYsRMRKpDf2QYuR8ugeiCh8SggwDh1QUhPmuUHDxpump	0.32876712	2	366
CTy5ZYub8LDub8JmvNFxywu465aFsb3LFVZiqrd4pump	0.32258065	1	187
Hoi9Lo8s2PP7EM9mv9bZjQ3aSB7ijyS238sTqQjbpump	0.31386225	18	3442
Av3cLhrHypqqh5VNqgmASeCGKbPGB8L2teNRuhH3bonk	0.30670927	8	1566
CZSE6FyovrMTANcyuRVxCJDKtr6V9yHvAypyJWY7pump	0.30612245	9	1765
HFtLLofzSqJUP5Hk96jyrBjyZq6PcUjfSA8AbKoopump	0.28708134	1	210
9KbgSh6XZaHiDBQE26tGTDuJuUZmVyvJGGabrE7fpump	0.28328612	20	4237
FoZqpZr3X5GMV8FCKNMJzcFibUA941yuAs4UrxKgpump	0.25559105	12	2818
6wcPQWr9zQgzkaieGaWqfwZaZJMC7xWRtVPm8ZKWpump	0.24948025	4	963
9YnfbEaXPaPmoXnKZFmNH8hzcLyjbRf56MQP7oqGpump	0.23316062	6	1545
218GvpbMt91iGnwxiAfhwP2dc9giBaKi25JLoUADpump	0.20270270	3	889
H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump	0.17964072	2	669
2geuoQeMDvg4Nsat6hC5E9ARaief4t8LWeJ1DTBiDTQC	0.17416546	4	1379
GdCN7rQA5egc8SU2Bc2kKB2kMwELneQZJVSt8gGBpump	0.16341353	6	2204
8ryRQD6jWfxnSdvvVbQ8Tzwo1NgGP7w1X1nQPpb4pump	0.15883521	4	1512
tAjP8NfsUJDp4LcqmAPMRzhhD9BRpesGvuosSXypump	0.15748031	4	1525
HUDTj9245rRy6XvjkGBNLdbz9WuP1phE6bubNj4qTRND	0.15439048	8	3110
FbmmdcCYHL7WETG89xtWmNFMzQAaQ8Zs9NXVbimibonk	0.14725733	20	8150
6QaQZFFZkCCqE7UyAFRDBMhvKoui11nv3ugeBvn2pump	0.14625229	4	1642
GF8ysB8rF9WjhrK5uVhRReubJtWpPzbztB7gVfAgsurg	0.14238253	10	4215
9xK2Cj2tKq1jzyjr6BtdqHxe2niTtshxF4Y7PTHMpump	0.13445378	4	1786
8V29cUbz7MeF16rBJhkuGMxByZjfjDxcuqQsPb8AchmG	0.12903226	1	466
GB8KtQfMChhYrCYtd5PoAB42kAdkHnuyAincSSmFpump	0.12823253	10	4680
9eppz2tFJRStziW3Hgjxu17BDAdpD2Jat4TxMHCRpump	0.12383901	4	1939
3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump	0.12024048	10	4991
Eu8qFQrtyRdTLmjn42vnuVCY26fsZPSbkbyVo31t4xFJ	0.09426551	2	1274
9PCrrBZwzd2A324N7vh7rMgW9NPP5ETftnhiQTuepump	0.09077156	1	662
zapzy5CRnuo8tVP7p4E1Ec6mc7XS43JHiiqv7FLniXa	0.08941878	2	1343
5r6Acw8ms9VkFeaxrnFE9sxbh5AA2CG1k4edZmpcpump	0.08727273	2	1376
81U1Pe815Ui1ttvDAJa1DusPEUTBn3yurk8GUGwhpump	0.08267310	4	2904
4gfNpwo8LQtcgGrNmgWhuwfFhttgZ8Qb6QXN4Yz8BAGS	0.08200923	8	5854
GJfeJt6ow7YiRfFtydvgCnbuyQsUTss3R1p3PcFrpump	0.08130081	1	739
p3wGjM9qoxnQ9BRL4mwvzbuFnbCzYxSz1pbCYgRpump	0.07874016	1	763
8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk	0.07807417	2	1538
AWc8uws9nh7pYjFQ8FzxavmP8WTUPwmQZAvK2yAPBAGS	0.06778895	10	8852
EKPWiLk5fwTNZVeL5PrKSFDjdJrvRkvoPafVT54ppump	0.06539510	4	3671
8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump	0.06446991	3	2793
3z2tRjNuQjoq6UDcw4zyEPD1Eb5KXMPYb4GWFzVT1DPg	0.06434316	10	9326
6Ks9R9H1Kqmz1XQTgCcZKqriCun5EwC1cukM9TUL996C	0.06423983	4	3737
BMhHXK6XQSGLkX3KjoUcppmBsssUKAqUYwQ68tMzpump	0.06131834	2	1958
HmCxqpgxaQng3A73F7vLgJjc9sr6ACFt8CEJwWY2hMGR	0.05711566	4	4203
9NrkmoqwF1rBjsfKZvn7ngCy6zqvb8A6A5RfTvR2pump	0.04882018	7	8604
8SQkCjdA7E4xVyF1KTWcYJ727szoZGS9hyuHigLkpump	0.04555809	1	1318
DzrScTJ32QqLWNQz6UEwRe5QaTw9SJbAepAuh95wBAGS	0.04210526	2	2851
B1rGc4HM4Q6q4nU78ADM7fGguxqiasH53fh6ViDXpump	0.04151675	5	7227
4nswj3o1Lo9iWYvvRJxUD8vbCy9ay7QQoXYcncHNbonk	0.04062288	4	5909
5pXCgix5omo4SLU6f2JcGUGhxMBih6PxcF6RfabsBAGS	0.03952569	1	1519
SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3	0.03665241	2	3275
DNhQZ1CE9qZ2FNrVhsCXwQJ2vZG8ufZkcYakTS5Jpump	0.03605769	1	1665
EwEJ5R1im54MowvsGwYUkyfWRMV1qcRL21PumVd4pump	0.03589948	3	5015
2s4aJgcxcYnSyvLUVdmhK9cjr8uwvmJLra97fzvupump	0.03570720	3	5042
8116V1BW9zaXUM6pVhWVaAduKrLcEBi3RGXedKTrBAGS	0.03440367	2	3489
jk1T35eWK41MBMM8AWoYVaNbjHEEQzMDetTsfnqpump	0.03034901	2	3955
2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump	0.03005410	5	9983
E2BLSv4tXo7qA4Pr3nkJqxyn6743peC7x8E9D5s8pump	0.02928258	2	4099
H4EkHReWbjJpqNUiUeYNNZbNKLqLfH8Jt9MkceXGpump	0.02922197	4	8214
DK9nBUMfdu4XprPRWeh8f6KnQiGWD8Z4xz3yzs9gpump	0.02652520	2	4525
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB	0.02508099	4	9570
CPLTbYbtDMKZtHBaPqdDmHjxNwESCEB14gm6VuoDpump	0.02203048	2	5448
5eTuF52LmxisGfPPhZeiUkBPMdTkF3WfF1w5P5FUbonk	0.02175884	2	5516
kMKX8hBaj3BTRBbeYix9c16EieBP5dih8DTSSwCpump	0.02162162	2	5551
EE2KUa4ALGKHsZR13VGu1dy6QeQbTSNQbmiSEfMYpump	0.02085506	2	5755
4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump	0.01408451	2	8521
jpxfcZEzCX5h1usbaEhwG4vq9A1ZYoceU7wbBDApump	0.01322168	1	4539
29TWWr9Lk9wr4yhzNvJb7qgrmftTzvHgG1C5AKwspump	0.00000000	0	1418
2BNYGNu734Sz1rXg1M3nvJZZxz1KcSjYJDb1zvHcBAGS	0.00000000	0	2
2FQK7ZE2DpWy4e3BLpJas5VtBozsWgsoDRLeA8mvpump	0.00000000	0	2
2LDXhVGnRbSAtWxVz6j6j9LV8LAQJgwXJFgn48xrbonk	0.00000000	0	15
2PP3NfvxQd5iqe5Qkn1ZqxgLvTpJriwZ9wbrMF8QXNwX	0.00000000	0	2
2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump	0.00000000	0	181
2QkN1ZxJKJxaSFPmamSsAxgaRHtatUywZZuxiSWBpump	0.00000000	0	2
2RF38YBj5xMSzap94CrsQKDTZ5FTd8fwrdQSUzfrpump	0.00000000	0	3685
2TsmuYUrsctE57VLckZBYEEzdokUF8j8e1GavekWBAGS	0.00000000	0	2
2ZSQvAg7xWbJhyBL4YvCFojEpMWssnh1sVxfnx6Aghhx	0.00000000	0	2
2iQsCREw9yzv9LesS4eSvxStPXs7KaVEZ4V2qihdpump	0.00000000	0	2
2oJLZbTurpA5mRAjz8zkLSxC1P87pNdeQYMtQn8Tpump	0.00000000	0	15
2qSjT2tcQbgLHDmE2db4dTuGYvVDqKBQ5GDBAkfyGieL	0.00000000	0	2
2tPSMmm4K5nFtEqNFUT18UdSkM72QoWJyYaEY7rApump	0.00000000	0	17
2vNn2FduWE2NqurgsHueCckRh2Rv8aLi5Ah6zMyXpump	0.00000000	0	2
2wzVMXhLypmP92mXNCq4fuFcd9TCC972AbMfuiH3pump	0.00000000	0	2420
34a8ALsPmbWxp7D3bQ6erERrCLz1ahr6u6o66Udmpump	0.00000000	0	3
38XprhVUr2gwRNBkmScckgJzh7p2E9hht529cSvApump	0.00000000	0	408
39UvE8Yc8BVgDx3ndNE1NqppmpatmpVxAn2z1XA3BAGS	0.00000000	0	2
3AD5BXdeU5DMFLd6kAKPAeVfjFP9iPix4bm3ZsK5pump	0.00000000	0	2
3ArC3TcCHariMUMu1Nbo3xjzqzUgu6rqgDyP3e6Bpump	0.00000000	0	2
3K2gEnouv7wjh8CMYtpfiLwHV2HQ9kJZnSpp9wXn4MzB	0.00000000	0	2
3KiwTemp26MCduFdg6aF6twwfVQfwsWbXCyqF2dcpump	0.00000000	0	2
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh	0.00000000	0	2
3XSzCGHnWw1gcNBfCycso33FkjMwxMzZ8W9oDLoEPerp	0.00000000	0	2
3YQoL6k8ii2BV8UswYxBEj2fVpcfHcRfhNY1dMXZpump	0.00000000	0	2
3Zc2i2i2PoESC8ENb3h6NUkzdD5A1sM3VunGTLQdpump	0.00000000	0	2
3bi8LQDxJchChQwV4J4iU64CccYw3zRWYJdmWYB9pump	0.00000000	0	2
3dD6NWhKQjSgJmzS5uTC74XLdp7SAX2y9EN6fumPpump	0.00000000	0	41
3hFEAFfPBgquhPcuQYJWufENYg9pjMDvgEEsv4jxpump	0.00000000	0	2
3mRSaEUsKC8MCrgMCBraYBEDnaHScStzB7jFRojnBAGS	0.00000000	0	7120
3mvrCJT8wdgg7StxxFkm7UoN2pf4oScbCkU8uECMpump	0.00000000	0	2
3nSvc7ECkuJxkj6fLzDMVBzCmu85MLFWDUgyQyx4pump	0.00000000	0	1504
3qq54YqAKG3TcrwNHXFSpMCWoL8gmMuPceJ4FG9npump	0.00000000	0	3130
3vDicycVm5WMKkChtYuFVq1Po48qxSt59D6HifuMpump	0.00000000	0	2
3xM8TzVg45KKkH9f8y678UfnR93aJEfXiEwPJy9upump	0.00000000	0	2
42KvmmKxi9A8VgR3eAUEABitXb3EH7cuXojxz9zBpump	0.00000000	0	2
49r3i4EwmxQjdpGvmUc73HBFJ73GyHaTUh54K9nSBAGS	0.00000000	0	3
4Eefn1EZL23G8Vv6zdstYQKcWeoMBJjGiGBw4jembonk	0.00000000	0	2
4RH2Mai5tk7yRz8zjEVm29jJEjWDU91cEfMBxbR3jupx	0.00000000	0	2
4Uf883orBx89VQZiV4EoRpNqUWYN5ZuEvC4PCpQ9moon	0.00000000	0	2
4Xq8cCPi6MtXJC5LCZ7EZ7sm56Sq17Q9ShGj1mvCpump	0.00000000	0	2
4YUiJgty57dPaEVjjENHnKSwYbpAxQ2aNabTq24185xh	0.00000000	0	22
4azNqNM44hWzFPfvp472AZVZjKeN1NU56mAoTdsQpump	0.00000000	0	2
4bLpDvtCY9NHPR9e3rpDNnwpMy4RMgsEm21E48rzpump	0.00000000	0	33
4mPNcCy6xZXJmgQdWmUsKENdSUMpijco4ja9hfy5chud	0.00000000	0	1351
4soaHmE7u1tsnuarHnAbRMLSBDB7ivq1HHPE7p6eauip	0.00000000	0	2
4u7E1t1UL621xxw9FzUbMpBxRkT7ZrTDesBTsa2Tbonk	0.00000000	0	2
4vUXHeUQT2vcKaAKHN5CTTjrxEjU3mWyuhWhgkxepump	0.00000000	0	2
4wPLTsJDkd8gAVBTmtituunJyHK4vWv6C6RXwnPHbonk	0.00000000	0	2
4y6UZRP3fTL4CPziTQwr6mDQq6Nq1i69T49ubiKipump	0.00000000	0	2
4ysQWCjLFf2RJnctn4RisWHDRXnhHH9LdN1zEzSxpump	0.00000000	0	2
51tFbfh65Bx8gPBAw44s6ZdwZZCcuXZru6xXhQpQsurg	0.00000000	0	2
54akovLUyBHeqgMosnAzbRq5Bdwsd2c32fvhk6LKpump	0.00000000	0	2
57cbRfhua3CLR3RFuKGGhWgzHbbprXqjGV555URPpump	0.00000000	0	629
5JQt2JWkmUPLYXsKPAyDwaFFdkT7XgDDzyu4q3cSbonk	0.00000000	0	2
5MecLQWQ3ZkGFaXrsD2qddCQw5p1bmMgexT2DPi5TRND	0.00000000	0	2
5XfQVFL4PB45n1YY37n7pawaNLvMZYaE9tciHc6pump	0.00000000	0	4
5YuYWmk34DR1uKUyE8hYx2u4okQ9rBW1YJoiE4Lcpump	0.00000000	0	41
5Zhi5VjYPafHRogNLJ3fVo8tLTAq58KaiMRpVU6Vpump	0.00000000	0	2
5bbfHiDURmxCTJR7BjcumaoBsKRhtruUqw8FiJ5UM8My	0.00000000	0	6
5fLLihPknA7mDA8Vd2fWUqtyGbWBCS6Qg53tyTiBpump	0.00000000	0	104
5h3tLsfdTpCt8Uj7B5idzCUYEeMMQrsr1aqXjGkgpump	0.00000000	0	698
5i5WNHo9kkE2PBK8h66yFo4wTBy61z3aa3njCTgxBAGS	0.00000000	0	2
5mADrKPEk6WHUEBv9cazsKvbufiCyNDoj8wZWQh7bonk	0.00000000	0	3
5qFfuf9igE2hqcQrDP3d69kTUthpWdQmsAYwSKGfGH55	0.00000000	0	2
5qcMUEJDEfpfKhRetgAYgEP7diwCfD8dW8wKKRPwBAGS	0.00000000	0	2
5tJbkjxJM9yi5hoM8zTTr3BLsJV5YLMqbkAssg1Lpump	0.00000000	0	2
5vDhaX1DRYUXwe9jVjW3Z9dYzPjMAL8aBChKAUgbbonk	0.00000000	0	58
5wVtfsFhLjxm27K9mN3ziYWCCpQwXXq7HWUiRMW7pump	0.00000000	0	2
